MGYA00241558	ERZ501467
MGYA00241076	ERZ501468
MGYA00241559	ERZ501469
MGYA00241077	ERZ501470
MGYA00241560	ERZ501471
MGYA00241078	ERZ501472
MGYA00241561	ERZ501473
MGYA00241247	ERZ501474
MGYA00241562	ERZ501475
MGYA00241248	ERZ501476
MGYA00241563	ERZ501477
MGYA00241249	ERZ501478
MGYA00241564	ERZ501479
MGYA00241250	ERZ501480
MGYA00241565	ERZ501481
MGYA00241251	ERZ501482
MGYA00241566	ERZ501483
MGYA00241252	ERZ501484
MGYA00241567	ERZ501485
MGYA00241253	ERZ501486
MGYA00241568	ERZ501487
MGYA00241254	ERZ501488
MGYA00241569	ERZ501489
MGYA00241255	ERZ501490
MGYA00241570	ERZ501491
MGYA00241256	ERZ501492
MGYA00241571	ERZ501493
MGYA00241257	ERZ501494
MGYA00241572	ERZ501495
MGYA00241258	ERZ501496
MGYA00241573	ERZ501497
MGYA00241259	ERZ501498
MGYA00241574	ERZ501499
MGYA00241260	ERZ501500
MGYA00241575	ERZ501501
MGYA00241261	ERZ501502
MGYA00241620	ERZ501503
MGYA00241262	ERZ501504
MGYA00241621	ERZ501505
MGYA00241263	ERZ501506
MGYA00241622	ERZ501507
MGYA00241264	ERZ501508
MGYA00241623	ERZ501509
MGYA00241265	ERZ501510
MGYA00241289	ERZ501512
MGYA00241626	ERZ501515
MGYA00241291	ERZ501516
MGYA00241627	ERZ501517
MGYA00241292	ERZ501518
MGYA00241628	ERZ501519
MGYA00241293	ERZ501520
MGYA00241629	ERZ501521
MGYA00241294	ERZ501522
MGYA00241630	ERZ501523
MGYA00241295	ERZ501524
MGYA00241631	ERZ501525
MGYA00241296	ERZ501526
MGYA00241632	ERZ501527
MGYA00241297	ERZ501528
MGYA00241633	ERZ501529
MGYA00241298	ERZ501530
MGYA00241634	ERZ501531
MGYA00241299	ERZ501532
MGYA00241635	ERZ501533
MGYA00241300	ERZ501534
MGYA00241636	ERZ501535
MGYA00241301	ERZ501536
MGYA00241637	ERZ501537
MGYA00241638	ERZ501539
MGYA00241303	ERZ501540
MGYA00241639	ERZ501541
MGYA00241304	ERZ501542
